Company Name,Industry,Symbol,Series,ISIN Code,,
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017,"""3MINDIA.NS""","""3MINDIA.NS"","
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022,"""ABB.NS""","""ABB.NS"","
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,"""ACC.NS""","""ACC.NS"","
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026,"""AIAENG.NS""","""AIAENG.NS"","
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019,"""APLAPOLLO.NS""","""APLAPOLLO.NS"","
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017,"""AUBANK.NS""","""AUBANK.NS"","
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020,"""AARTIIND.NS""","""AARTIIND.NS"","
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012,"""AAVAS.NS""","""AAVAS.NS"","
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014,"""ABBOTINDIA.NS""","""ABBOTINDIA.NS"","
Adani Gas Ltd.,OIL & GAS,ADANIGAS,EQ,INE399L01023,"""ADANIGAS.NS""","""ADANIGAS.NS"","
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010,"""ADANIGREEN.NS""","""ADANIGREEN.NS"","
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,"""ADANIPORTS.NS""","""ADANIPORTS.NS"","
Adani Power Ltd.,POWER,ADANIPOWER,EQ,INE814H01011,"""ADANIPOWER.NS""","""ADANIPOWER.NS"","
Adani Transmission Ltd.,POWER,ADANITRANS,EQ,INE931S01010,"""ADANITRANS.NS""","""ADANITRANS.NS"","
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013,"""ABCAPITAL.NS""","""ABCAPITAL.NS"","
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011,"""ABFRL.NS""","""ABFRL.NS"","
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020,"""ADVENZYMES.NS""","""ADVENZYMES.NS"","
Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,EQ,INE208C01025,"""AEGISCHEM.NS""","""AEGISCHEM.NS"","
